Name,improved,unimproved,cash_val,machine_val,horse,mules,milkcow,oxen,cattle,sheep,swine,livestock_val,wheat,bye,corn,oats,rice,tobacco,cotton,wool,peas,potatos,sweetpotatos,barley,buckwheat,orchid_val,wine,grain_val,butter,cheese,hay,clover,grass,hops,hemp_dewrot,hemp_waterrot,hemp_other,flax,flaxseed,silk,maplesugar,canesugar,molasses,beewax,honey,manufactures_val,animals_val,pg_num,rown,year,town
0. Leverance,50,12,3000,50,1,0,5,2,4,0,1,420,60,0,90,50,0,0,0,0,0,100,0,0,0,0,0,0,400,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,57,11,1860,Middlebury
found I Years,105,15,3500,50,2,0,6,4,5,50,0,795,85,10,50,100,0,0,0,250,0,200,0,0,0,0,0,0,400,200,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77,57,12,1860,Middlebury
Samuel Bush,30,190,700,25,0,0,1,0,3,20,0,170,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,10,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,57,13,1860,Middlebury
Harvey Bale,45,30,2000,50,2,0,2,0,0,14,0,350,0,0,75,175,0,0,0,140,0,200,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,21,57,14,1860,Middlebury
40 Austin,110,11,3000,150,2,0,5,0,3,6,2,450,0,40,100,100,0,0,0,250,3,200,0,0,10,0,0,0,300,0,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,115,57,15,1860,Middlebury
David E. Boyee,130,8,5000,200,1,0,2,2,3,110,2,605,80,0,40,200,0,0,0,425,15,200,0,0,0,0,0,0,300,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,75,57,16,1860,Middlebury
Ira B. Smith,25,5,800,20,3,0,3,0,3,0,2,250,0,0,40,0,0,0,0,0,0,60,0,0,0,0,0,0,400,0,5,0,0,960,0,0,0,0,0,0,800,0,0,0,0,0,42,57,17,1860,Middlebury
Elijah 3 Boyle,163,30,4825,150,3,0,2,2,1,150,0,830,50,20,50,300,0,0,0,600,0,200,0,0,0,0,0,0,250,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,57,18,1860,Middlebury
David M Chittendon,25,0,1150,25,1,0,1,0,0,12,2,180,28,0,39,175,0,0,0,0,0,80,0,0,12,0,0,0,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,57,19,1860,Middlebury
James.C. Tucker,40,40,1250,50,2,0,3,0,1,0,1,200,28,36,30,175,0,0,0,0,0,85,0,0,5,0,0,0,190,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,57,20,1860,Middlebury
Haskel killer,20,0,900,15,0,0,2,0,0,0,1,70,0,0,10,15,0,0,0,0,0,25,0,0,0,25,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,21,1860,Middlebury
G. y Fitch,80,6,3000,75,1,0,2,0,1,63,1,400,18,0,20,0,0,0,0,300,0,65,0,0,0,0,0,0,250,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,22,1860,Middlebury
Marman,46,6,1500,25,1,0,2,2,1,24,2,437,25,0,40,85,0,0,0,180,0,45,0,0,0,20,0,0,250,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,57,23,1860,Middlebury
Lidney Mead,250,100,9000,100,3,0,4,2,10,156,1,1400,75,0,125,500,0,0,0,600,140,150,0,0,0,50,0,0,500,0,75,0,6,0,0,0,0,0,0,0,400,0,0,0,0,0,129,57,24,1860,Middlebury
David Linett,35,12,2000,50,1,0,2,0,0,2,1,168,33,0,50,60,0,0,0,0,5,75,0,0,0,0,0,0,200,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,36,57,25,1860,Middlebury
Royal B witherell,40,16,1100,50,2,0,2,0,1,0,1,250,28,38,50,90,0,0,0,0,0,50,0,0,14,0,0,0,400,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,26,1860,Middlebury
John B. Brown,32,5,1000,75,1,0,2,0,3,0,1,180,0,0,10,180,0,0,0,0,0,30,0,16,0,5,0,0,250,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57,27,1860,Middlebury
Alfours Amadon,50,0,1800,75,1,0,4,0,10,0,2,340,30,0,50,100,0,0,0,0,0,100,0,0,0,0,0,0,300,0,25,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,93,57,28,1860,Middlebury
Henry Abbey,28,0,1000,40,1,0,2,0,1,0,0,100,0,0,50,40,0,0,0,0,0,40,0,0,42,0,0,0,250,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,29,1860,Middlebury
Frederick Jules,125,50,9500,150,2,0,4,0,13,0,3,590,20,40,50,200,0,0,0,0,0,100,0,0,0,0,0,0,500,0,30,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,75,57,30,1860,Middlebury
John Judge,20,10,600,50,2,0,2,0,2,0,1,180,20,10,10,30,0,0,0,0,0,75,0,0,0,0,0,0,250,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,31,1860,Middlebury
B. M. Howard,35,0,1300,75,1,0,2,0,1,0,1,125,7,0,25,30,0,0,0,0,0,50,0,0,0,0,0,0,250,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,57,32,1860,Middlebury
Normon Bourdancos,100,20,3000,100,2,0,4,2,12,0,1,580,50,0,50,200,0,0,0,0,0,100,0,0,0,0,0,0,600,0,40,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,80,57,33,1860,Middlebury
Prince aing,50,20,1200,75,1,0,3,0,0,0,0,190,25,0,50,100,0,0,0,0,0,50,0,0,0,0,0,0,400,300,20,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,28,57,34,1860,Middlebury
Andrew Bain,100,9,2500,75,1,0,8,2,5,16,1,720,8,0,100,150,0,0,0,70,16,150,0,0,0,0,0,0,900,900,40,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,85,57,35,1860,Middlebury
Ies Pond,60,50,3000,75,4,0,4,0,7,16,0,667,12,0,50,80,0,0,0,50,20,100,0,0,0,10,0,0,600,0,25,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,38,57,36,1860,Middlebury
B.Preston,88,8,4000,150,4,0,6,0,4,14,0,660,45,0,60,150,0,0,0,125,12,100,0,0,4,125,0,0,500,0,19,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,21,57,37,1860,Middlebury
Hiram Mungar,250,150,16000,300,4,0,3,2,1,240,2,1870,100,0,50,500,0,0,0,1100,25,80,0,0,0,40,0,0,500,0,75,0,7,0,0,0,0,0,0,0,200,0,0,0,0,0,54,57,38,1860,Middlebury
Bention Preston,110,66,3000,50,4,0,4,0,3,47,0,680,75,0,60,130,0,0,0,225,0,100,0,0,0,0,0,0,400,0,15,0,1,0,0,0,0,0,0,0,400,0,0,0,0,0,55,57,39,1860,Middlebury
David Hooker,155,34,5250,100,8,0,3,0,2,29,1,810,35,0,100,100,0,0,0,300,20,100,0,0,0,0,0,0,400,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,57,40,1860,Middlebury
Horace Came,21,0,2500,150,4,0,1,0,1,0,0,450,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,150,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,1,1860,Middlebury
Marfred Foot,135,15,7250,200,3,0,6,0,2,88,3,1000,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,600,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,2,1860,Middlebury
Jacob Courae,180,25,8700,325,4,0,4,0,0,40,1,1350,35,0,100,295,0,0,0,300,0,100,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,59,3,1860,Middlebury
H.Y. Haydon,90,0,9000,300,12,0,5,2,9,78,2,3018,90,0,75,600,0,0,0,1000,0,200,0,0,0,0,0,0,700,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,59,4,1860,Middlebury
B.B. Parker,60,0,2600,100,4,0,4,0,2,12,2,500,90,0,75,100,0,0,0,0,0,200,0,0,0,0,0,0,600,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,5,1860,Middlebury
A.L. Millinson,108,10,6000,200,3,0,7,4,3,82,4,1128,77,0,40,386,0,0,0,480,0,125,0,0,0,25,0,0,150,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,59,6,1860,Middlebury
M.M. Bloke,127,20,9500,225,3,0,3,2,6,44,2,937,55,0,150,400,0,0,0,190,20,250,0,0,0,0,0,0,500,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,59,7,1860,Middlebury
Warren More,65,0,3000,50,2,0,2,0,2,20,2,200,20,0,25,100,0,0,0,150,50,100,0,0,0,5,0,0,300,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,59,8,1860,Middlebury
H. Pritehard,70,0,3000,50,1,0,2,0,2,5,0,200,25,0,20,100,0,0,0,0,0,150,0,0,0,0,0,0,300,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,59,9,1860,Middlebury
George L Porter,92,8,4400,150,2,0,4,0,3,30,1,480,15,0,20,140,0,0,0,200,0,80,0,0,0,30,0,0,500,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,59,10,1860,Middlebury
A H. Mathews,84,0,2500,100,2,0,4,0,2,26,0,334,28,0,0,130,0,0,0,125,0,25,0,0,0,0,0,0,40,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,11,1860,Middlebury
Bethel yellock,99,7,1600,50,1,0,2,0,2,0,1,40,0,0,0,25,0,0,0,0,0,45,0,0,0,0,0,0,150,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,59,12,1860,Middlebury
E.H. Moorton,25,25,1500,150,1,0,2,0,2,0,1,210,14,0,50,20,0,0,0,0,0,50,0,0,0,0,0,0,200,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,13,1860,Middlebury
Jerome Riny,10,0,1000,25,1,0,2,0,1,0,1,150,10,0,30,7,0,0,0,0,0,49,0,0,0,0,0,0,200,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,14,1860,Middlebury
Euniee Carpenta,38,7,1500,25,1,0,2,0,0,16,1,200,21,16,20,16,0,0,0,52,4,100,0,0,15,0,0,0,250,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,80,59,15,1860,Middlebury
Jessa Goodner,225,10,3500,150,2,0,2,2,5,71,2,799,45,0,50,100,0,0,0,350,10,100,0,0,0,0,0,0,200,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,16,1860,Middlebury
C.L. Brouch,35,0,1200,100,0,0,2,2,2,7,1,253,18,12,50,70,0,0,0,60,0,300,0,0,0,0,0,0,600,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,80,59,17,1860,Middlebury
Gardner L. lady,45,55,3500,300,4,0,4,0,2,41,2,644,75,0,50,225,0,0,0,225,6,75,0,0,0,0,0,0,100,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,59,18,1860,Middlebury
Joseph M Boyer,36,10,2000,50,1,0,1,0,1,29,1,266,12,0,20,0,0,0,0,75,26,75,0,0,0,0,0,0,300,800,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,59,19,1860,Middlebury
Lilus Perkins,90,10,400,100,4,0,4,0,3,0,2,450,20,0,10,50,0,0,0,0,0,75,0,0,0,0,0,0,1000,1000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20,1860,Middlebury
Meil Wieker,135,90,5000,200,3,0,13,0,1,0,1,800,40,0,20,40,0,0,0,0,80,60,0,0,0,30,0,0,300,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,21,1860,Middlebury
Norman Tupper,175,50,5000,100,2,0,2,4,11,10,1,740,0,160,40,30,0,0,0,25,3,50,0,0,0,0,0,0,400,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,59,22,1860,Middlebury
Meil E Loledge,40,60,1500,100,2,0,3,0,0,0,1,200,10,100,0,15,0,0,0,0,3,100,0,0,0,0,0,0,300,0,9,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,35,59,23,1860,Middlebury
E.E. Cognivell,30,150,1500,100,2,0,2,0,1,5,1,250,0,5,70,50,0,0,0,65,0,50,0,0,0,0,0,0,400,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,59,24,1860,Middlebury
Elain Supples,35,15,2000,25,0,0,3,0,0,0,0,90,0,24,0,20,0,0,0,0,0,50,0,0,0,0,0,0,400,200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,25,1860,Middlebury
Esther Champlin,50,0,4000,50,1,0,4,0,2,30,1,275,25,0,50,30,0,0,0,110,0,125,0,0,0,0,0,0,600,600,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,59,26,1860,Middlebury
H. Boardman,200,60,10000,200,4,0,6,2,16,2,4,1000,70,0,100,130,0,0,0,0,0,100,0,0,0,0,0,0,300,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,59,27,1860,Middlebury
Lumin L.Hyde,97,0,4500,100,3,0,6,0,6,0,1,590,25,0,18,365,0,0,0,0,0,75,0,0,0,0,0,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,28,1860,Middlebury
Anceland Olmstem,50,25,2500,75,1,0,3,2,3,0,2,400,30,40,45,15,0,0,0,0,0,75,0,0,12,0,0,0,400,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,59,29,1860,Middlebury
Mee Chapman,10,0,900,25,0,0,1,2,0,2,1,150,0,50,75,75,0,0,0,0,2,200,0,0,0,0,0,0,200,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,59,30,1860,Middlebury
P M. Powell,50,50,2000,25,1,0,1,0,1,0,0,150,0,200,100,0,0,0,0,50,0,50,0,0,12,0,0,0,150,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,31,1860,Middlebury
Y E. Hill,25,2,1000,25,1,0,2,0,1,0,1,180,0,40,100,0,0,0,0,0,0,75,0,0,15,0,0,0,300,0,5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,25,59,32,1860,Middlebury
Hannah M Brown,48,12,1000,25,0,0,3,0,1,8,1,142,0,60,70,0,0,0,0,30,0,60,0,0,0,0,0,0,500,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,33,1860,Middlebury
Noble Goot,82,25,4500,150,2,0,3,0,3,50,2,550,25,50,100,100,0,0,0,200,2,70,0,0,0,25,0,0,300,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,59,34,1860,Middlebury
Charles Day,56,5,2000,250,3,0,2,0,0,20,1,950,0,210,150,30,0,0,0,110,4,125,0,0,4,0,0,0,250,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,59,35,1860,Middlebury
E. M. Yeverance,125,18,5300,200,3,0,4,0,26,36,2,720,50,135,160,250,0,0,0,150,0,225,0,0,0,80,0,0,700,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,59,36,1860,Middlebury
A.Nichols,100,24,4000,150,3,0,4,0,4,38,1,517,56,18,150,375,0,0,0,175,0,100,0,0,0,40,0,0,400,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,37,1860,Middlebury
J.B.Blara,125,75,4500,150,2,0,3,0,3,10,2,360,12,100,30,100,0,0,0,30,0,150,0,0,0,35,0,0,300,0,12,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,66,59,38,1860,Middlebury
Mey B Hall,60,60,3000,150,2,0,5,0,8,2,1,460,5,300,150,100,0,0,0,0,0,300,0,0,0,25,0,0,700,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,95,59,39,1860,Middlebury
John Growes,78,10,2500,100,0,0,3,2,3,18,2,332,5,90,100,250,0,0,0,136,0,15,0,0,0,0,0,0,400,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,42,59,40,1860,Middlebury
Edward Guller,180,10,6500,150,6,0,6,2,18,44,2,1300,25,0,200,180,0,0,0,200,8,100,0,0,0,0,0,0,600,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,1,1860,Middlebury
Nelson Fuller,54,3,1800,50,2,0,3,0,2,5,1,245,20,0,50,130,0,0,0,25,0,50,0,0,0,0,0,0,400,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,2,1860,Middlebury
Samuel N. Brooks,100,14,4000,100,2,0,4,0,8,29,1,518,40,18,50,100,0,0,0,108,90,100,0,0,0,0,0,0,500,0,60,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,100,61,3,1860,Middlebury
Chaney More,100,15,4000,75,2,0,4,0,2,52,1,500,25,0,50,100,0,0,0,200,26,100,0,0,0,0,0,0,500,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,4,1860,Middlebury
Geo k Smith,100,26,4500,100,2,0,9,0,9,40,1,640,48,0,50,125,0,0,0,200,20,100,0,0,0,0,0,0,400,200,50,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,49,61,5,1860,Middlebury
Abel Abby,130,140,5000,200,2,0,5,0,6,36,2,655,63,0,25,150,0,0,0,340,4,100,0,0,0,0,0,0,500,260,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,6,1860,Middlebury
Warren Abbey,36,50,1800,95,2,0,2,0,1,8,2,320,20,0,50,50,0,0,0,41,0,75,0,0,20,15,0,0,300,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,7,1860,Middlebury
Isauc Lovett,40,45,2400,95,1,0,3,2,3,13,1,430,60,0,15,24,0,0,0,50,0,80,0,0,0,0,0,0,400,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,28,61,8,1860,Middlebury
Abigail Bush,14,6,600,10,2,0,2,0,0,1,0,200,17,0,20,20,0,0,0,0,0,25,0,0,0,20,0,0,300,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,1860,Middlebury
Millin Storell,60,10,2000,50,0,0,2,2,1,50,1,455,28,0,0,160,0,0,0,112,0,75,0,0,0,0,0,0,900,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,61,10,1860,Middlebury
Eli Mother,120,10,6000,200,3,0,5,0,2,50,2,600,40,0,75,200,0,0,0,425,0,75,0,0,0,30,0,0,500,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,61,11,1860,Middlebury
H M. Hammond,250,50,10000,200,6,0,2,0,1,169,4,4000,93,0,0,400,0,0,0,1000,0,75,0,0,0,0,0,0,300,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,61,12,1860,Middlebury
E. Hammond,250,50,10000,250,14,0,6,4,2,250,4,6740,100,0,50,400,0,0,0,2200,100,300,0,0,0,0,0,0,800,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,61,13,1860,Middlebury
Calvin Mheeler,18,0,2000,25,2,0,3,0,3,0,2,360,5,0,50,100,0,0,0,0,6,75,0,0,0,0,0,0,500,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,14,1860,Middlebury
Frederick Limitte,60,15,9000,50,2,0,3,0,2,0,0,310,40,0,40,150,0,0,0,0,6,100,0,0,0,0,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,15,1860,Middlebury
Amis Nichols,23,0,9000,25,1,0,2,0,2,0,1,210,8,0,40,65,0,0,0,0,6,70,0,0,0,0,0,0,250,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,61,16,1860,Middlebury
Emhhraim Kirby,100,30,3500,75,2,0,4,0,0,92,0,688,0,0,75,50,0,0,0,400,0,100,0,0,0,0,0,0,600,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,17,1860,Middlebury
William Carr,75,25,350,100,2,0,5,0,5,90,1,1000,25,0,100,100,0,0,0,500,10,150,0,0,0,0,0,0,600,400,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,18,1860,Middlebury
Loar Borrows,35,5,1500,25,1,0,2,0,0,0,0,100,20,0,75,25,0,0,0,0,0,30,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,19,1860,Middlebury
Ira m. Brownell,160,25,4000,150,1,0,4,4,4,45,1,695,40,0,70,200,0,0,0,200,0,100,0,0,0,0,0,0,800,500,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,20,1860,Middlebury
Haratio goodrid,30,30,2000,100,2,0,2,0,3,0,1,250,20,15,10,70,0,0,0,0,0,50,0,0,0,20,0,0,200,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,21,1860,Middlebury
Isave Libes,40,0,1800,25,1,0,2,2,2,9,1,335,25,0,20,100,0,0,0,50,0,50,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,22,1860,Middlebury
E.U. Birge,55,15,3000,250,3,0,3,0,2,32,3,644,0,40,75,200,0,0,0,250,26,100,0,0,0,50,0,0,400,0,18,0,0,0,0,0,0,0,0,0,140,0,0,0,100,0,75,61,23,1860,Middlebury
David N.Buttolph,280,20,9000,250,4,0,6,0,3,129,4,1211,50,0,50,200,0,0,0,500,0,25,0,0,0,20,0,0,600,0,70,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,130,61,24,1860,Middlebury
John Homemond,110,0,4400,250,5,0,3,0,0,113,1,895,53,0,100,300,0,0,0,475,0,900,0,0,0,40,20,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,61,25,1860,Middlebury
Reuben R. Mright,300,30,12000,250,3,0,2,0,2,90,1,1050,40,0,50,468,0,0,0,690,0,50,0,0,0,0,0,0,200,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,26,1860,Middlebury
Lueins Barrows,145,25,5000,200,4,0,4,0,3,93,1,888,30,0,50,200,0,0,0,450,0,150,0,0,0,10,2,0,500,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,61,27,1860,Middlebury
Charles H. Wider,93,10,4000,150,2,0,10,0,5,2,2,505,25,0,40,150,0,0,0,0,0,100,0,0,0,0,0,0,1000,800,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,28,1860,Middlebury
A.H. Yornswoth,155,20,6000,100,4,0,3,0,2,120,2,885,70,0,70,100,0,0,0,100,40,200,0,0,0,25,0,0,400,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,61,29,1860,Middlebury
Harry Goodrich,80,50,3500,95,2,0,3,0,2,58,1,502,9,0,50,80,0,0,0,334,0,150,0,8,0,30,0,0,400,0,30,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,50,61,30,1860,Middlebury
Eduard Murry,118,6,4000,150,4,0,2,0,0,109,2,475,25,0,50,100,0,0,0,450,0,900,0,0,0,10,0,0,380,0,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,90,61,31,1860,Middlebury
Allen Goot,145,25,6000,250,3,0,4,0,2,84,2,699,50,18,50,200,0,0,0,300,0,150,0,0,0,20,0,0,400,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,32,1860,Middlebury
H.C. Cody,60,10,1500,100,4,0,2,0,3,0,0,500,20,0,90,100,0,0,0,0,0,50,0,0,0,0,0,0,400,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,61,33,1860,Middlebury
Y Boardman,100,12,5000,150,1,0,2,2,3,100,1,600,15,0,50,120,0,0,0,300,0,100,0,0,0,0,0,0,900,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,34,1860,Middlebury
C.P. White,330,25,14440,900,1,0,2,2,8,0,0,302,0,0,0,0,0,0,0,0,0,300,0,6,0,25,0,0,600,0,75,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,150,61,35,1860,Middlebury
John M Holliday,110,20,4500,200,2,0,5,0,5,24,1,511,50,0,50,200,0,0,0,39,0,300,0,0,0,0,0,0,400,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,61,36,1860,Middlebury
